trabajador_id;nombre;fecha_nacimiento;pasaporte;codigo_compania;vuelo_id;rol
14;Ronnie Macias;1988-02-12;J06543685;LUD;121;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;COG;137;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;KAI;74;Tripulante de Cabina
58;Samuel Jimenez;1984-01-07;B79815379;NCY;29;Tripulante de Cabina
47;Michael Compton;1980-01-07;T63857772;LAM;109;Paramedico
56;Isaiah Riley;1986-09-18;W12727804;UAN;108;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;EAL;108;Tripulante de Cabina
32;Darrell Henderson;1975-03-14;I87476188;UCA;132;Paramedico
1;Melanie Cummings;1980-09-01;J00360904;LUD;50;Tripulante de Cabina
49;Kenneth Brady;1981-11-06;O21522167;KAI;138;Paramedico
53;Patricia Alvarado;1983-08-01;P27318304;KAI;43;Paramedico
19;Desiree Williams;1993-03-19;Z32250364;ADC;121;Tripulante de Cabina
2;Melissa Jimenez;1998-12-18;W08204144;LUD;91;Tripulante de Cabina
42;Deborah Martinez;1987-02-03;G18065401;LRC;138;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;KAI;27;Tripulante de Cabina
19;Desiree Williams;1993-03-19;Z32250364;MPH;135;Tripulante de Cabina
13;Bradley Glenn;1975-10-17;U87751971;KAI;146;Tripulante de Cabina
12;Ronnie Moore;1997-01-12;L28170812;LAW;26;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;LAM;140;Tripulante de Cabina
5;Miguel Oliver;1992-08-27;E21376006;LUD;75;Tripulante de Cabina
58;Samuel Jimenez;1984-01-07;B79815379;UAN;128;Tripulante de Cabina
18;Michael Chavez;1976-08-28;O16330677;ETA;103;Tripulante de Cabina
52;Sara Sims;1999-07-10;F00773862;KAI;54;Paramedico
51;Kristina Gilmore;1985-12-13;B29047250;KAI;22;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;UAN;131;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;EAL;90;Tripulante de Cabina
32;Darrell Henderson;1975-03-14;I87476188;QAF;146;Paramedico
22;Rodney Wilson;1973-10-18;R08362516;COG;24;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;KAI;124;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;COG;38;Tripulante de Cabina
33;Samantha Mora;1990-10-27;P24467352;BTA;91;Tripulante de Cabina
2;Melissa Jimenez;1998-12-18;W08204144;BTA;104;Tripulante de Cabina
50;Adam Herrera;1976-12-04;Y37241205;LAW;29;Paramedico
22;Rodney Wilson;1973-10-18;R08362516;KAI;77;Tripulante de Cabina
52;Sara Sims;1999-07-10;F00773862;KAI;41;Paramedico
19;Desiree Williams;1993-03-19;Z32250364;XLE;119;Tripulante de Cabina
28;Nicholas Simmons;1994-08-03;W03439988;LAW;97;Tripulante de Cabina
50;Adam Herrera;1976-12-04;Y37241205;BTA;29;Paramedico
32;Darrell Henderson;1975-03-14;I87476188;LAT;144;Paramedico
47;Michael Compton;1980-01-07;T63857772;COG;98;Paramedico
22;Rodney Wilson;1973-10-18;R08362516;COG;108;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;KAI;89;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;COG;111;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;LRC;73;Tripulante de Cabina
12;Ronnie Moore;1997-01-12;L28170812;KEA;113;Tripulante de Cabina
19;Desiree Williams;1993-03-19;Z32250364;LUD;6;Tripulante de Cabina
26;Elizabeth Jordan;1974-09-16;S70038299;MPH;52;Tripulante de Cabina
40;Brian Berry;1998-12-22;N92528667;ETA;23;Paramedico
51;Kristina Gilmore;1985-12-13;B29047250;KAI;53;Tripulante de Cabina
58;Samuel Jimenez;1984-01-07;B79815379;BTA;33;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;COG;109;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;UAN;139;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;EAL;36;Tripulante de Cabina
5;Miguel Oliver;1992-08-27;E21376006;UAN;40;Tripulante de Cabina
26;Elizabeth Jordan;1974-09-16;S70038299;MPH;118;Tripulante de Cabina
50;Adam Herrera;1976-12-04;Y37241205;BTA;33;Paramedico
51;Kristina Gilmore;1985-12-13;B29047250;KAI;18;Tripulante de Cabina
46;Heather Arnold;1999-01-10;Y81323264;LUD;136;Tripulante de Cabina
51;Kristina Gilmore;1985-12-13;B29047250;KAI;14;Tripulante de Cabina
16;Tracey Harris;1978-06-05;C97271665;XLE;41;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;IBE;38;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;LRC;74;Tripulante de Cabina
2;Melissa Jimenez;1998-12-18;W08204144;LUD;46;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;LRC;138;Tripulante de Cabina
53;Patricia Alvarado;1983-08-01;P27318304;ADC;81;Paramedico
35;Francisco Rich;1996-02-21;D89562085;QAF;106;Paramedico
2;Melissa Jimenez;1998-12-18;W08204144;LUD;9;Tripulante de Cabina
26;Elizabeth Jordan;1974-09-16;S70038299;LAW;97;Tripulante de Cabina
4;Diane Swanson;1974-02-14;F08731569;KAI;105;Tripulante de Cabina
52;Sara Sims;1999-07-10;F00773862;KAI;12;Paramedico
18;Michael Chavez;1976-08-28;O16330677;ETA;142;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;AZI;28;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;KAI;28;Tripulante de Cabina
30;Daniel Callahan;1987-09-13;X88103341;LUD;121;Paramedico
1;Melanie Cummings;1980-09-01;J00360904;KEA;45;Tripulante de Cabina
47;Michael Compton;1980-01-07;T63857772;COG;77;Paramedico
16;Tracey Harris;1978-06-05;C97271665;ETA;95;Tripulante de Cabina
53;Patricia Alvarado;1983-08-01;P27318304;KAI;141;Paramedico
35;Francisco Rich;1996-02-21;D89562085;QAF;78;Paramedico
35;Francisco Rich;1996-02-21;D89562085;COG;78;Paramedico
56;Isaiah Riley;1986-09-18;W12727804;UAN;140;Tripulante de Cabina
16;Tracey Harris;1978-06-05;C97271665;EAL;12;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;BTA;108;Tripulante de Cabina
28;Nicholas Simmons;1994-08-03;W03439988;LAW;134;Tripulante de Cabina
27;Steven Hernandez;1997-11-18;Z48029074;NCY;19;Paramedico
35;Francisco Rich;1996-02-21;D89562085;COG;106;Paramedico
52;Sara Sims;1999-07-10;F00773862;LAW;28;Paramedico
18;Michael Chavez;1976-08-28;O16330677;BTA;142;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;AZI;110;Tripulante de Cabina
16;Tracey Harris;1978-06-05;C97271665;ETA;12;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;LAM;27;Tripulante de Cabina
30;Daniel Callahan;1987-09-13;X88103341;XLE;84;Paramedico
58;Samuel Jimenez;1984-01-07;B79815379;NCY;39;Tripulante de Cabina
12;Ronnie Moore;1997-01-12;L28170812;LAW;127;Tripulante de Cabina
35;Francisco Rich;1996-02-21;D89562085;IBE;73;Paramedico
22;Rodney Wilson;1973-10-18;R08362516;LAM;131;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;KAI;59;Tripulante de Cabina
28;Nicholas Simmons;1994-08-03;W03439988;LAT;11;Tripulante de Cabina
51;Kristina Gilmore;1985-12-13;B29047250;LAW;51;Tripulante de Cabina
58;Samuel Jimenez;1984-01-07;B79815379;NCY;119;Tripulante de Cabina
19;Desiree Williams;1993-03-19;Z32250364;MPH;112;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;LRC;110;Tripulante de Cabina
53;Patricia Alvarado;1983-08-01;P27318304;ADC;27;Paramedico
20;James Singleton;1977-08-12;U46471214;KEA;66;Paramedico
1;Melanie Cummings;1980-09-01;J00360904;KEA;37;Tripulante de Cabina
30;Daniel Callahan;1987-09-13;X88103341;XLE;21;Paramedico
52;Sara Sims;1999-07-10;F00773862;ETA;137;Paramedico
56;Isaiah Riley;1986-09-18;W12727804;IBE;0;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;LAM;38;Tripulante de Cabina
39;Patricia Norris;1974-12-08;Y69764268;QAF;42;Tripulante de Cabina
52;Sara Sims;1999-07-10;F00773862;LAW;140;Paramedico
58;Samuel Jimenez;1984-01-07;B79815379;NCY;87;Tripulante de Cabina
58;Samuel Jimenez;1984-01-07;B79815379;LRC;44;Tripulante de Cabina
18;Michael Chavez;1976-08-28;O16330677;BTA;143;Tripulante de Cabina
5;Miguel Oliver;1992-08-27;E21376006;AZI;101;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;COG;36;Tripulante de Cabina
12;Ronnie Moore;1997-01-12;L28170812;KEA;80;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;LRC;24;Tripulante de Cabina
39;Patricia Norris;1974-12-08;Y69764268;QAF;97;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;AZI;38;Tripulante de Cabina
2;Melissa Jimenez;1998-12-18;W08204144;BTA;91;Tripulante de Cabina
16;Tracey Harris;1978-06-05;C97271665;EAL;120;Tripulante de Cabina
13;Bradley Glenn;1975-10-17;U87751971;UCA;144;Tripulante de Cabina
50;Adam Herrera;1976-12-04;Y37241205;XLE;33;Paramedico
53;Patricia Alvarado;1983-08-01;P27318304;ADC;141;Paramedico
2;Melissa Jimenez;1998-12-18;W08204144;BTA;137;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;KAI;8;Tripulante de Cabina
2;Melissa Jimenez;1998-12-18;W08204144;LAW;136;Tripulante de Cabina
46;Heather Arnold;1999-01-10;Y81323264;LUD;102;Tripulante de Cabina
18;Michael Chavez;1976-08-28;O16330677;UCA;1;Tripulante de Cabina
49;Kenneth Brady;1981-11-06;O21522167;LUD;30;Paramedico
2;Melissa Jimenez;1998-12-18;W08204144;LAW;4;Tripulante de Cabina
19;Desiree Williams;1993-03-19;Z32250364;LUD;58;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;IBE;27;Tripulante de Cabina
51;Kristina Gilmore;1985-12-13;B29047250;LAW;53;Tripulante de Cabina
26;Elizabeth Jordan;1974-09-16;S70038299;LAW;118;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;COG;110;Tripulante de Cabina
51;Kristina Gilmore;1985-12-13;B29047250;KAI;137;Tripulante de Cabina
58;Samuel Jimenez;1984-01-07;B79815379;ADC;29;Tripulante de Cabina
39;Patricia Norris;1974-12-08;Y69764268;ADC;42;Tripulante de Cabina
16;Tracey Harris;1978-06-05;C97271665;XLE;25;Tripulante de Cabina
40;Brian Berry;1998-12-22;N92528667;LAW;35;Paramedico
2;Melissa Jimenez;1998-12-18;W08204144;BTA;96;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;EAL;38;Tripulante de Cabina
47;Michael Compton;1980-01-07;T63857772;EAL;109;Paramedico
50;Adam Herrera;1976-12-04;Y37241205;LAW;105;Paramedico
22;Rodney Wilson;1973-10-18;R08362516;AZI;109;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;UAN;8;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;KAI;81;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;LAM;136;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;BTA;109;Tripulante de Cabina
47;Michael Compton;1980-01-07;T63857772;EAL;98;Paramedico
30;Daniel Callahan;1987-09-13;X88103341;XLE;125;Paramedico
19;Desiree Williams;1993-03-19;Z32250364;ADC;85;Tripulante de Cabina
2;Melissa Jimenez;1998-12-18;W08204144;LAW;48;Tripulante de Cabina
19;Desiree Williams;1993-03-19;Z32250364;ETA;85;Tripulante de Cabina
2;Melissa Jimenez;1998-12-18;W08204144;LAW;45;Tripulante de Cabina
18;Michael Chavez;1976-08-28;O16330677;UCA;142;Tripulante de Cabina
32;Darrell Henderson;1975-03-14;I87476188;QAF;142;Paramedico
2;Melissa Jimenez;1998-12-18;W08204144;IBE;124;Tripulante de Cabina
46;Heather Arnold;1999-01-10;Y81323264;UAN;138;Tripulante de Cabina
2;Melissa Jimenez;1998-12-18;W08204144;LAW;26;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;UAN;130;Tripulante de Cabina
39;Patricia Norris;1974-12-08;Y69764268;QAF;9;Tripulante de Cabina
4;Diane Swanson;1974-02-14;F08731569;KAI;129;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;UAN;138;Tripulante de Cabina
14;Ronnie Macias;1988-02-12;J06543685;LUD;33;Tripulante de Cabina
2;Melissa Jimenez;1998-12-18;W08204144;LUD;48;Tripulante de Cabina
58;Samuel Jimenez;1984-01-07;B79815379;LRC;80;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;BTA;47;Tripulante de Cabina
51;Kristina Gilmore;1985-12-13;B29047250;KAI;26;Tripulante de Cabina
12;Ronnie Moore;1997-01-12;L28170812;ADC;48;Tripulante de Cabina
2;Melissa Jimenez;1998-12-18;W08204144;KAI;2;Tripulante de Cabina
13;Bradley Glenn;1975-10-17;U87751971;KEA;113;Tripulante de Cabina
28;Nicholas Simmons;1994-08-03;W03439988;LAW;11;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;KAI;139;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;EAL;138;Tripulante de Cabina
45;Jill Haas;1986-04-10;U50608611;LAW;117;Paramedico
56;Isaiah Riley;1986-09-18;W12727804;KAI;36;Tripulante de Cabina
53;Patricia Alvarado;1983-08-01;P27318304;BTA;65;Paramedico
39;Patricia Norris;1974-12-08;Y69764268;ADC;97;Tripulante de Cabina
5;Miguel Oliver;1992-08-27;E21376006;UAN;138;Tripulante de Cabina
49;Kenneth Brady;1981-11-06;O21522167;UAN;50;Paramedico
16;Tracey Harris;1978-06-05;C97271665;XLE;76;Tripulante de Cabina
46;Heather Arnold;1999-01-10;Y81323264;KAI;50;Tripulante de Cabina
46;Heather Arnold;1999-01-10;Y81323264;KAI;108;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;AZI;101;Tripulante de Cabina
32;Darrell Henderson;1975-03-14;I87476188;UCA;144;Paramedico
50;Adam Herrera;1976-12-04;Y37241205;BTA;37;Paramedico
51;Kristina Gilmore;1985-12-13;B29047250;KAI;51;Tripulante de Cabina
58;Samuel Jimenez;1984-01-07;B79815379;ADC;33;Tripulante de Cabina
19;Desiree Williams;1993-03-19;Z32250364;MPH;50;Tripulante de Cabina
49;Kenneth Brady;1981-11-06;O21522167;LUD;50;Paramedico
35;Francisco Rich;1996-02-21;D89562085;QAF;89;Paramedico
5;Miguel Oliver;1992-08-27;E21376006;AZI;59;Tripulante de Cabina
52;Sara Sims;1999-07-10;F00773862;ETA;13;Paramedico
51;Kristina Gilmore;1985-12-13;B29047250;NCY;38;Tripulante de Cabina
5;Miguel Oliver;1992-08-27;E21376006;LUD;13;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;IBE;81;Tripulante de Cabina
43;Rebecca Valenzuela;1971-08-18;G17571521;ADC;71;Paramedico
14;Ronnie Macias;1988-02-12;J06543685;EAL;90;Tripulante de Cabina
2;Melissa Jimenez;1998-12-18;W08204144;KAI;33;Tripulante de Cabina
11;David Tran;1975-08-07;B62958600;LUD;34;Tripulante de Cabina
46;Heather Arnold;1999-01-10;Y81323264;UAN;139;Tripulante de Cabina
52;Sara Sims;1999-07-10;F00773862;KAI;140;Paramedico
11;David Tran;1975-08-07;B62958600;NCY;100;Tripulante de Cabina
35;Francisco Rich;1996-02-21;D89562085;IBE;78;Paramedico
5;Miguel Oliver;1992-08-27;E21376006;AZI;108;Tripulante de Cabina
19;Desiree Williams;1993-03-19;Z32250364;MPH;121;Tripulante de Cabina
32;Darrell Henderson;1975-03-14;I87476188;LAT;72;Paramedico
5;Miguel Oliver;1992-08-27;E21376006;UAN;50;Tripulante de Cabina
13;Bradley Glenn;1975-10-17;U87751971;UCA;63;Tripulante de Cabina
19;Desiree Williams;1993-03-19;Z32250364;LUD;114;Tripulante de Cabina
18;Michael Chavez;1976-08-28;O16330677;ETA;68;Tripulante de Cabina
1;Melanie Cummings;1980-09-01;J00360904;KEA;21;Tripulante de Cabina
58;Samuel Jimenez;1984-01-07;B79815379;UAN;80;Tripulante de Cabina
2;Melissa Jimenez;1998-12-18;W08204144;LUD;34;Tripulante de Cabina
33;Samantha Mora;1990-10-27;P24467352;QAF;91;Tripulante de Cabina
2;Melissa Jimenez;1998-12-18;W08204144;KAI;121;Tripulante de Cabina
32;Darrell Henderson;1975-03-14;I87476188;UCA;142;Paramedico
46;Heather Arnold;1999-01-10;Y81323264;UAN;108;Tripulante de Cabina
46;Heather Arnold;1999-01-10;Y81323264;LUD;43;Tripulante de Cabina
52;Sara Sims;1999-07-10;F00773862;LAW;9;Paramedico
2;Melissa Jimenez;1998-12-18;W08204144;IBE;93;Tripulante de Cabina
19;Desiree Williams;1993-03-19;Z32250364;XLE;37;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;UAN;28;Tripulante de Cabina
48;Alex Walsh;1985-12-12;W59287703;LAW;35;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;COG;74;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;UAN;77;Tripulante de Cabina
42;Deborah Martinez;1987-02-03;G18065401;LRC;49;Tripulante de Cabina
27;Steven Hernandez;1997-11-18;Z48029074;AZI;14;Paramedico
5;Miguel Oliver;1992-08-27;E21376006;LUD;59;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;BTA;124;Tripulante de Cabina
32;Darrell Henderson;1975-03-14;I87476188;QAF;132;Paramedico
1;Melanie Cummings;1980-09-01;J00360904;XLE;6;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;IBE;104;Tripulante de Cabina
27;Steven Hernandez;1997-11-18;Z48029074;NCY;14;Paramedico
4;Diane Swanson;1974-02-14;F08731569;LAW;105;Tripulante de Cabina
53;Patricia Alvarado;1983-08-01;P27318304;KAI;81;Paramedico
2;Melissa Jimenez;1998-12-18;W08204144;LAW;137;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;KAI;111;Tripulante de Cabina
18;Michael Chavez;1976-08-28;O16330677;ETA;72;Tripulante de Cabina
42;Deborah Martinez;1987-02-03;G18065401;KAI;44;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;AZI;73;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;LAM;115;Tripulante de Cabina
52;Sara Sims;1999-07-10;F00773862;LAW;54;Paramedico
56;Isaiah Riley;1986-09-18;W12727804;UAN;109;Tripulante de Cabina
14;Ronnie Macias;1988-02-12;J06543685;BTA;103;Tripulante de Cabina
58;Samuel Jimenez;1984-01-07;B79815379;ADC;1;Tripulante de Cabina
42;Deborah Martinez;1987-02-03;G18065401;LRC;44;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;BTA;46;Tripulante de Cabina
5;Miguel Oliver;1992-08-27;E21376006;AZI;141;Tripulante de Cabina
14;Ronnie Macias;1988-02-12;J06543685;EAL;33;Tripulante de Cabina
27;Steven Hernandez;1997-11-18;Z48029074;AZI;62;Paramedico
51;Kristina Gilmore;1985-12-13;B29047250;NCY;23;Tripulante de Cabina
18;Michael Chavez;1976-08-28;O16330677;ETA;148;Tripulante de Cabina
52;Sara Sims;1999-07-10;F00773862;KAI;18;Paramedico
32;Darrell Henderson;1975-03-14;I87476188;UCA;147;Paramedico
22;Rodney Wilson;1973-10-18;R08362516;EAL;139;Tripulante de Cabina
50;Adam Herrera;1976-12-04;Y37241205;UAN;33;Paramedico
51;Kristina Gilmore;1985-12-13;B29047250;KAI;139;Tripulante de Cabina
5;Miguel Oliver;1992-08-27;E21376006;KAI;40;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;BTA;111;Tripulante de Cabina
19;Desiree Williams;1993-03-19;Z32250364;ETA;114;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;LRC;131;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;UAN;0;Tripulante de Cabina
39;Patricia Norris;1974-12-08;Y69764268;QAF;15;Tripulante de Cabina
42;Deborah Martinez;1987-02-03;G18065401;LRC;137;Tripulante de Cabina
13;Bradley Glenn;1975-10-17;U87751971;UCA;107;Tripulante de Cabina
46;Heather Arnold;1999-01-10;Y81323264;LUD;6;Tripulante de Cabina
43;Rebecca Valenzuela;1971-08-18;G17571521;BTA;4;Paramedico
40;Brian Berry;1998-12-22;N92528667;NCY;97;Paramedico
56;Isaiah Riley;1986-09-18;W12727804;IBE;115;Tripulante de Cabina
58;Samuel Jimenez;1984-01-07;B79815379;BTA;23;Tripulante de Cabina
32;Darrell Henderson;1975-03-14;I87476188;LAT;132;Paramedico
18;Michael Chavez;1976-08-28;O16330677;ETA;143;Tripulante de Cabina
19;Desiree Williams;1993-03-19;Z32250364;MPH;34;Tripulante de Cabina
35;Francisco Rich;1996-02-21;D89562085;COG;46;Paramedico
50;Adam Herrera;1976-12-04;Y37241205;XLE;68;Paramedico
32;Darrell Henderson;1975-03-14;I87476188;UCA;42;Paramedico
49;Kenneth Brady;1981-11-06;O21522167;UAN;108;Paramedico
26;Elizabeth Jordan;1974-09-16;S70038299;LAW;92;Tripulante de Cabina
28;Nicholas Simmons;1994-08-03;W03439988;LUD;11;Tripulante de Cabina
30;Daniel Callahan;1987-09-13;X88103341;LUD;125;Paramedico
19;Desiree Williams;1993-03-19;Z32250364;LUD;120;Tripulante de Cabina
56;Isaiah Riley;1986-09-18;W12727804;UAN;115;Tripulante de Cabina
52;Sara Sims;1999-07-10;F00773862;LAW;41;Paramedico
47;Michael Compton;1980-01-07;T63857772;COG;109;Paramedico
19;Desiree Williams;1993-03-19;Z32250364;XLE;114;Tripulante de Cabina
50;Adam Herrera;1976-12-04;Y37241205;BTA;85;Paramedico
40;Brian Berry;1998-12-22;N92528667;ETA;22;Paramedico
2;Melissa Jimenez;1998-12-18;W08204144;BTA;138;Tripulante de Cabina
11;David Tran;1975-08-07;B62958600;LUD;6;Tripulante de Cabina
40;Brian Berry;1998-12-22;N92528667;ETA;122;Paramedico
16;Tracey Harris;1978-06-05;C97271665;ETA;84;Tripulante de Cabina
11;David Tran;1975-08-07;B62958600;NCY;6;Tripulante de Cabina
2;Melissa Jimenez;1998-12-18;W08204144;LUD;68;Tripulante de Cabina
5;Miguel Oliver;1992-08-27;E21376006;AZI;121;Tripulante de Cabina
20;James Singleton;1977-08-12;U46471214;LAM;130;Paramedico
53;Patricia Alvarado;1983-08-01;P27318304;ADC;91;Paramedico
11;David Tran;1975-08-07;B62958600;LUD;57;Tripulante de Cabina
19;Desiree Williams;1993-03-19;Z32250364;ADC;6;Tripulante de Cabina
35;Francisco Rich;1996-02-21;D89562085;IBE;36;Paramedico
51;Kristina Gilmore;1985-12-13;B29047250;KAI;23;Tripulante de Cabina
35;Francisco Rich;1996-02-21;D89562085;IBE;126;Paramedico
20;James Singleton;1977-08-12;U46471214;LAM;66;Paramedico
30;Daniel Callahan;1987-09-13;X88103341;XLE;58;Paramedico
22;Rodney Wilson;1973-10-18;R08362516;EAL;0;Tripulante de Cabina
49;Kenneth Brady;1981-11-06;O21522167;KAI;50;Paramedico
58;Samuel Jimenez;1984-01-07;B79815379;BTA;119;Tripulante de Cabina
52;Sara Sims;1999-07-10;F00773862;LAW;12;Paramedico
22;Rodney Wilson;1973-10-18;R08362516;LAM;36;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;LAM;73;Tripulante de Cabina
27;Steven Hernandez;1997-11-18;Z48029074;NCY;57;Paramedico
28;Nicholas Simmons;1994-08-03;W03439988;LAT;26;Tripulante de Cabina
12;Ronnie Moore;1997-01-12;L28170812;LAW;119;Tripulante de Cabina
58;Samuel Jimenez;1984-01-07;B79815379;LRC;65;Tripulante de Cabina
35;Francisco Rich;1996-02-21;D89562085;QAF;46;Paramedico
58;Samuel Jimenez;1984-01-07;B79815379;UAN;5;Tripulante de Cabina
11;David Tran;1975-08-07;B62958600;LUD;11;Tripulante de Cabina
2;Melissa Jimenez;1998-12-18;W08204144;BTA;124;Tripulante de Cabina
58;Samuel Jimenez;1984-01-07;B79815379;ADC;17;Tripulante de Cabina
48;Alex Walsh;1985-12-12;W59287703;AZI;59;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;EAL;110;Tripulante de Cabina
43;Rebecca Valenzuela;1971-08-18;G17571521;ADC;80;Paramedico
56;Isaiah Riley;1986-09-18;W12727804;UAN;38;Tripulante de Cabina
