id;nombre;fecha_nacimiento;pasaporte;codigo_compania;vuelo_id;licencia
70;Latasha Nelson;1986-05-09;V51246373;NCY;110;49
71;Jacob Duran;1988-02-25;A85793465;QAF;86;17
72;Jason Edwards;1975-02-09;J22810925;UCA;107;45
73;Jacob Duran;1988-02-25;A85793465;QAF;86;48
74;Danny Pratt;1998-10-31;E10934506;BTA;141;47
75;Jason Edwards;1975-02-09;J22810925;LUD;87;45
76;Curtis Gutierrez;1974-03-14;Q46419538;ADC;136;7
77;Jessica Harvey;1996-04-08;L89163667;NCY;143;37
78;Linda Warren;1975-03-13;L01109034;XLE;26;50
79;Ronald Monroe;1984-09-12;C02131672;AZI;102;41
80;Jacob Duran;1988-02-25;A85793465;KEA;35;17
81;Jacob Duran;1988-02-25;A85793465;QAF;117;48
82;Jessica Harvey;1996-04-08;L89163667;IBE;40;37
83;Kimberly Brown;1999-09-02;H50641909;ADC;56;51
84;Jacob Duran;1988-02-25;A85793465;NCY;101;48
85;Danny Pratt;1998-10-31;E10934506;UCA;94;47
86;Curtis Gutierrez;1974-03-14;Q46419538;NCY;133;7
87;Jason Edwards;1975-02-09;J22810925;ETA;142;45
88;Jacob Duran;1988-02-25;A85793465;LAW;59;17
89;Jacob Duran;1988-02-25;A85793465;NCY;52;17
90;Danny Pratt;1998-10-31;E10934506;XLE;8;36
91;Danny Pratt;1998-10-31;E10934506;EAL;8;47
92;Jacob Duran;1988-02-25;A85793465;BTA;99;48
93;Joe Cabrera;1994-08-13;O98651462;KEA;91;25
94;Jacob Duran;1988-02-25;A85793465;AZI;3;48
95;Jessica Harvey;1996-04-08;L89163667;UCA;23;37
96;Jacob Duran;1988-02-25;A85793465;QAF;129;17
97;Danny Pratt;1998-10-31;E10934506;UCA;8;47
98;Kimberly Brown;1999-09-02;H50641909;ADC;53;51
99;Jessica Harvey;1996-04-08;L89163667;UCA;22;37
100;Danny Pratt;1998-10-31;E10934506;ADC;112;36
101;Jacob Duran;1988-02-25;A85793465;LAM;35;17
102;Jacob Duran;1988-02-25;A85793465;UAN;29;17
103;Latasha Nelson;1986-05-09;V51246373;MPH;110;49
104;Jacob Duran;1988-02-25;A85793465;LAW;15;48
105;Jason Edwards;1975-02-09;J22810925;UCA;55;15
106;Jessica Harvey;1996-04-08;L89163667;IBE;122;37
107;Danny Pratt;1998-10-31;E10934506;UCA;125;47
108;Jacob Duran;1988-02-25;A85793465;AZI;3;17
109;Jacob Duran;1988-02-25;A85793465;KEA;4;48
110;Linda Warren;1975-03-13;L01109034;ETA;17;50
111;Danny Pratt;1998-10-31;E10934506;ADC;127;47
112;Jacob Duran;1988-02-25;A85793465;COG;99;17
113;Kimberly Brown;1999-09-02;H50641909;ADC;124;22
114;Latasha Nelson;1986-05-09;V51246373;MPH;118;49
115;Jason Edwards;1975-02-09;J22810925;LAT;100;15
116;Jacob Duran;1988-02-25;A85793465;LAW;57;48
117;Jacob Duran;1988-02-25;A85793465;LAW;20;48
118;Jacob Duran;1988-02-25;A85793465;UAN;3;17
119;Jason Edwards;1975-02-09;J22810925;XLE;144;45
120;Jacob Duran;1988-02-25;A85793465;KEA;73;48
121;Jason Edwards;1975-02-09;J22810925;XLE;100;45
122;Jacob Duran;1988-02-25;A85793465;AZI;59;17
123;Ronald Monroe;1984-09-12;C02131672;LAM;30;41
124;Kimberly Brown;1999-09-02;H50641909;KAI;53;22
125;Curtis Gutierrez;1974-03-14;Q46419538;AZI;136;7
126;Laura Ward;1981-01-23;I74549867;COG;90;28
127;Jacob Duran;1988-02-25;A85793465;BTA;86;17
128;Jacob Duran;1988-02-25;A85793465;COG;73;48
129;Joe Cabrera;1994-08-13;O98651462;BTA;2;25
130;Jacob Duran;1988-02-25;A85793465;BTA;57;17
131;Danny Pratt;1998-10-31;E10934506;XLE;94;47
132;Jacob Duran;1988-02-25;A85793465;NCY;35;17
133;Joe Cabrera;1994-08-13;O98651462;KEA;83;25
134;Jason Edwards;1975-02-09;J22810925;LUD;144;15
135;Jacob Duran;1988-02-25;A85793465;BTA;29;17
136;Jason Edwards;1975-02-09;J22810925;LAM;76;45
137;Jason Edwards;1975-02-09;J22810925;XLE;132;45
138;Eric Phelps;1994-10-01;B96464671;ETA;95;35
139;Curtis Gutierrez;1974-03-14;Q46419538;KAI;28;7
140;Eric Phelps;1994-10-01;B96464671;IBE;63;35
141;Jason Edwards;1975-02-09;J22810925;UCA;144;45
142;Jessica Harvey;1996-04-08;L89163667;AZI;62;37
143;Jacob Duran;1988-02-25;A85793465;AZI;140;17
144;Ronald Monroe;1984-09-12;C02131672;QAF;109;41
145;Danny Pratt;1998-10-31;E10934506;EAL;141;47
146;Danny Pratt;1998-10-31;E10934506;BTA;138;36
147;Jacob Duran;1988-02-25;A85793465;NCY;123;48
148;Kimberly Brown;1999-09-02;H50641909;IBE;53;22
149;Kimberly Brown;1999-09-02;H50641909;COG;32;22
150;Jason Edwards;1975-02-09;J22810925;XLE;6;45
151;Danny Pratt;1998-10-31;E10934506;EAL;112;36
152;Jason Edwards;1975-02-09;J22810925;ETA;41;15
153;Jacob Duran;1988-02-25;A85793465;KEA;99;48
154;Jacob Duran;1988-02-25;A85793465;LAM;140;48
155;Linda Warren;1975-03-13;L01109034;LAW;69;50
156;Jacob Duran;1988-02-25;A85793465;LAW;35;17
157;Jeffrey Roberts;1971-12-02;G16561693;LUD;34;19
158;John Ross;1979-03-16;F40422038;BTA;31;29
159;Matthew Walsh;1993-09-20;S26547035;EAL;131;12
160;John Ross;1979-03-16;F40422038;UAN;65;29
161;Jacob Duran;1988-02-25;A85793465;LAM;126;48
162;Jacob Duran;1988-02-25;A85793465;EAL;99;48
163;Kimberly Brown;1999-09-02;H50641909;XLE;53;51
164;Jason Edwards;1975-02-09;J22810925;LAT;100;45
165;Linda Warren;1975-03-13;L01109034;ADC;69;50
166;Jason Edwards;1975-02-09;J22810925;ETA;87;15
167;Jacob Duran;1988-02-25;A85793465;QAF;29;48
168;Jason Edwards;1975-02-09;J22810925;UCA;64;45
169;Jason Edwards;1975-02-09;J22810925;XLE;41;45
170;Jacob Duran;1988-02-25;A85793465;NCY;126;48
171;Gabriel Palmer;1981-08-18;O88716397;LUD;5;31
172;Gabriel Palmer;1981-08-18;O88716397;UAN;45;31
173;Ronald Monroe;1984-09-12;C02131672;AZI;121;2
174;Danny Pratt;1998-10-31;E10934506;BTA;147;47
175;Jacob Duran;1988-02-25;A85793465;UAN;35;17
176;Danny Pratt;1998-10-31;E10934506;ADC;127;36
177;Danny Pratt;1998-10-31;E10934506;EAL;127;47
178;Gabriel Palmer;1981-08-18;O88716397;UAN;74;31
179;Danny Pratt;1998-10-31;E10934506;BTA;125;36
180;Jacob Duran;1988-02-25;A85793465;NCY;126;17
181;Ronald Monroe;1984-09-12;C02131672;COG;30;41
182;Danny Pratt;1998-10-31;E10934506;KAI;147;47
183;Jacob Duran;1988-02-25;A85793465;LAM;29;17
184;Latasha Nelson;1986-05-09;V51246373;LRC;44;49
185;Gabriel Palmer;1981-08-18;O88716397;LUD;45;40
186;Jacob Duran;1988-02-25;A85793465;KEA;86;17
187;Jason Edwards;1975-02-09;J22810925;IBE;100;45
188;Jacob Duran;1988-02-25;A85793465;LAM;86;17
189;Kimberly Brown;1999-09-02;H50641909;XLE;53;22
190;Curtis Gutierrez;1974-03-14;Q46419538;ADC;71;7
191;Jason Edwards;1975-02-09;J22810925;LAT;88;45
192;Jacob Duran;1988-02-25;A85793465;BTA;20;48
193;Curtis Gutierrez;1974-03-14;Q46419538;BTA;54;7
194;Danny Pratt;1998-10-31;E10934506;EAL;8;36
195;Jason Edwards;1975-02-09;J22810925;LAM;76;15
196;Linda Warren;1975-03-13;L01109034;ETA;37;50
197;Jacob Duran;1988-02-25;A85793465;COG;99;48
198;Jacob Duran;1988-02-25;A85793465;LAW;29;48
199;Jacob Duran;1988-02-25;A85793465;AZI;4;48
200;Ronald Monroe;1984-09-12;C02131672;QAF;102;2
201;Jessica Harvey;1996-04-08;L89163667;IBE;62;37
202;Danny Pratt;1998-10-31;E10934506;XLE;112;36
203;Jason Edwards;1975-02-09;J22810925;LUD;100;15
204;Jacob Duran;1988-02-25;A85793465;AZI;29;48
205;Jacob Duran;1988-02-25;A85793465;KAI;15;48
206;Gene Obrien;1999-07-02;Q49180524;KAI;137;0
207;Jacob Duran;1988-02-25;A85793465;NCY;35;48
208;Jacob Duran;1988-02-25;A85793465;QAF;20;17
209;Jacob Duran;1988-02-25;A85793465;KEA;117;48
210;Danny Pratt;1998-10-31;E10934506;XLE;21;47
211;Jason Edwards;1975-02-09;J22810925;ADC;107;45
212;Jacob Duran;1988-02-25;A85793465;UAN;59;17
213;Linda Warren;1975-03-13;L01109034;ADC;14;50
214;Kimberly Brown;1999-09-02;H50641909;COG;32;51
215;Danny Pratt;1998-10-31;E10934506;EAL;94;47
216;Ronald Monroe;1984-09-12;C02131672;COG;102;2
217;Jason Edwards;1975-02-09;J22810925;LAT;144;45
218;Jason Edwards;1975-02-09;J22810925;IBE;6;45
219;Jacob Duran;1988-02-25;A85793465;LAW;117;48
220;Jason Edwards;1975-02-09;J22810925;ETA;132;15
221;Danny Pratt;1998-10-31;E10934506;XLE;148;47
222;Jacob Duran;1988-02-25;A85793465;KAI;4;48
223;Jacob Duran;1988-02-25;A85793465;BTA;59;17
224;Ronald Monroe;1984-09-12;C02131672;AZI;50;2
225;Jeffrey Roberts;1971-12-02;G16561693;KEA;104;19
226;Matthew Walsh;1993-09-20;S26547035;IBE;131;12
227;Jason Edwards;1975-02-09;J22810925;LUD;132;45
228;Jacob Duran;1988-02-25;A85793465;COG;29;48
229;Jason Edwards;1975-02-09;J22810925;LAM;100;45
230;Jason Edwards;1975-02-09;J22810925;LRC;88;45
231;Jacob Duran;1988-02-25;A85793465;KEA;59;48
232;Linda Warren;1975-03-13;L01109034;XLE;135;50
233;Jason Edwards;1975-02-09;J22810925;LRC;88;15
234;Curtis Gutierrez;1974-03-14;Q46419538;BTA;71;7
235;Jason Edwards;1975-02-09;J22810925;ADC;6;45
236;Jacob Duran;1988-02-25;A85793465;BTA;29;48
237;Jacob Duran;1988-02-25;A85793465;EAL;1;48
238;Jacob Duran;1988-02-25;A85793465;EAL;15;17
239;Jason Edwards;1975-02-09;J22810925;ADC;87;45
240;Danny Pratt;1998-10-31;E10934506;ADC;125;36
241;Ronald Monroe;1984-09-12;C02131672;LAM;109;41
242;Jason Edwards;1975-02-09;J22810925;IBE;132;15
243;Ronald Monroe;1984-09-12;C02131672;QAF;121;2
244;Linda Warren;1975-03-13;L01109034;XLE;16;50
245;Jacob Duran;1988-02-25;A85793465;BTA;9;48
246;Jacob Duran;1988-02-25;A85793465;LAM;29;48
247;Alex Deleon;1979-10-03;A35692355;IBE;92;11
248;Jacob Duran;1988-02-25;A85793465;QAF;9;48
249;Jason Edwards;1975-02-09;J22810925;XLE;60;15
250;Jason Edwards;1975-02-09;J22810925;XLE;144;15
251;Gabriel Palmer;1981-08-18;O88716397;EAL;5;40
252;Alex Deleon;1979-10-03;A35692355;LAM;66;11
253;Curtis Gutierrez;1974-03-14;Q46419538;BTA;136;7
254;Jacob Duran;1988-02-25;A85793465;NCY;99;48
255;Jason Edwards;1975-02-09;J22810925;LAM;132;15
256;Jacob Duran;1988-02-25;A85793465;NCY;117;48
257;Danny Pratt;1998-10-31;E10934506;BTA;103;36
258;Jacob Duran;1988-02-25;A85793465;LAM;73;48
259;Jason Edwards;1975-02-09;J22810925;MPH;132;15
260;Jason Edwards;1975-02-09;J22810925;LRC;80;45
261;Kimberly Brown;1999-09-02;H50641909;IBE;56;51
262;Jason Edwards;1975-02-09;J22810925;ETA;55;45
263;Danny Pratt;1998-10-31;E10934506;BTA;94;47
264;Jessica Harvey;1996-04-08;L89163667;IBE;23;37
265;Kimberly Brown;1999-09-02;H50641909;KAI;32;51
266;Jason Edwards;1975-02-09;J22810925;UCA;80;15
267;Jacob Duran;1988-02-25;A85793465;LAM;15;17
268;Jacob Duran;1988-02-25;A85793465;COG;126;48
269;Jason Edwards;1975-02-09;J22810925;IBE;55;45
270;Laura Ward;1981-01-23;I74549867;ETA;89;28
271;Jacob Duran;1988-02-25;A85793465;COG;9;17
272;Joe Cabrera;1994-08-13;O98651462;COG;79;25
273;Danny Pratt;1998-10-31;E10934506;UCA;112;47
274;Jacob Duran;1988-02-25;A85793465;EAL;117;48
275;Jacob Duran;1988-02-25;A85793465;NCY;3;17
276;Kimberly Brown;1999-09-02;H50641909;COG;124;22
277;Ronald Monroe;1984-09-12;C02131672;LAM;109;2
278;Joe Cabrera;1994-08-13;O98651462;COG;67;25
279;Jason Edwards;1975-02-09;J22810925;LAM;107;15
280;Ronald Monroe;1984-09-12;C02131672;QAF;102;41
281;Ronald Monroe;1984-09-12;C02131672;LAM;106;2
282;Jason Edwards;1975-02-09;J22810925;ETA;132;45
283;Kimberly Brown;1999-09-02;H50641909;COG;36;22
284;Danny Pratt;1998-10-31;E10934506;BTA;38;47
285;Jason Edwards;1975-02-09;J22810925;ADC;80;45
286;Gene Obrien;1999-07-02;Q49180524;AZI;43;0
287;Jacob Duran;1988-02-25;A85793465;EAL;20;17
288;Kimberly Brown;1999-09-02;H50641909;IBE;139;22
289;Jacob Duran;1988-02-25;A85793465;LAW;117;17
290;Linda Warren;1975-03-13;L01109034;ADC;17;50
291;Linda Warren;1975-03-13;L01109034;XLE;14;50
292;Gene Obrien;1999-07-02;Q49180524;AZI;11;0
293;Gene Obrien;1999-07-02;Q49180524;KAI;43;0
294;Jacob Duran;1988-02-25;A85793465;LAM;9;17
295;Kimberly Brown;1999-09-02;H50641909;IBE;98;22
296;Jessica Harvey;1996-04-08;L89163667;LRC;143;37
297;Jacob Duran;1988-02-25;A85793465;QAF;126;17
298;Jason Edwards;1975-02-09;J22810925;LRC;6;15
299;Jason Edwards;1975-02-09;J22810925;IBE;107;45
300;Jacob Duran;1988-02-25;A85793465;COG;101;48
301;Alex Deleon;1979-10-03;A35692355;IBE;12;11
302;Danny Pratt;1998-10-31;E10934506;XLE;127;36
303;Jacob Duran;1988-02-25;A85793465;COG;59;17
304;Jason Edwards;1975-02-09;J22810925;UCA;60;15
305;Jason Edwards;1975-02-09;J22810925;LUD;60;45
306;Gabriel Palmer;1981-08-18;O88716397;LUD;45;31
307;Matthew Walsh;1993-09-20;S26547035;LAM;131;12
308;Danny Pratt;1998-10-31;E10934506;EAL;58;47
309;Jacob Duran;1988-02-25;A85793465;KEA;129;48
310;Kimberly Brown;1999-09-02;H50641909;IBE;84;22
311;Curtis Gutierrez;1974-03-14;Q46419538;AZI;71;7
312;Jacob Duran;1988-02-25;A85793465;BTA;140;48
313;Danny Pratt;1998-10-31;E10934506;ADC;147;36
314;Jacob Duran;1988-02-25;A85793465;NCY;101;17
315;Danny Pratt;1998-10-31;E10934506;ADC;38;47
316;Joe Cabrera;1994-08-13;O98651462;KEA;27;25
317;Eric Phelps;1994-10-01;B96464671;KEA;7;35
318;Kimberly Brown;1999-09-02;H50641909;IBE;36;51
319;Jacob Duran;1988-02-25;A85793465;LAM;20;48
320;Eric Phelps;1994-10-01;B96464671;XLE;7;35
321;Ronald Monroe;1984-09-12;C02131672;COG;108;41
322;Jacob Duran;1988-02-25;A85793465;AZI;20;48
323;Ronald Monroe;1984-09-12;C02131672;AZI;30;41
324;Danny Pratt;1998-10-31;E10934506;UCA;141;47
325;Kimberly Brown;1999-09-02;H50641909;KAI;84;51
326;Jacob Duran;1988-02-25;A85793465;UAN;123;48
327;Danny Pratt;1998-10-31;E10934506;ADC;8;36
328;Ronald Monroe;1984-09-12;C02131672;UAN;108;2
329;Jason Edwards;1975-02-09;J22810925;ADC;100;45
330;Linda Warren;1975-03-13;L01109034;ADC;18;50
331;Danny Pratt;1998-10-31;E10934506;EAL;119;47
332;Jacob Duran;1988-02-25;A85793465;AZI;35;48
333;Danny Pratt;1998-10-31;E10934506;XLE;138;47
334;Jacob Duran;1988-02-25;A85793465;UAN;99;48
335;Joe Cabrera;1994-08-13;O98651462;BTA;27;25
336;Curtis Gutierrez;1974-03-14;Q46419538;AZI;54;7
337;Jacob Duran;1988-02-25;A85793465;KEA;20;17
338;Gene Obrien;1999-07-02;Q49180524;KEA;115;0
339;Eric Phelps;1994-10-01;B96464671;IBE;25;35
340;Jason Edwards;1975-02-09;J22810925;LAT;80;45
341;Kimberly Brown;1999-09-02;H50641909;COG;84;51
342;Jason Edwards;1975-02-09;J22810925;MPH;100;45
343;Matthew Walsh;1993-09-20;S26547035;LAM;77;12
344;Curtis Gutierrez;1974-03-14;Q46419538;BTA;51;7
345;Jacob Duran;1988-02-25;A85793465;KEA;99;17
346;Kimberly Brown;1999-09-02;H50641909;ADC;139;51
347;Jacob Duran;1988-02-25;A85793465;NCY;59;17
348;Jacob Duran;1988-02-25;A85793465;QAF;123;48
349;Jason Edwards;1975-02-09;J22810925;LUD;80;45
350;Jason Edwards;1975-02-09;J22810925;IBE;76;45
351;Jacob Duran;1988-02-25;A85793465;BTA;140;17
352;Danny Pratt;1998-10-31;E10934506;ADC;141;47
353;Danny Pratt;1998-10-31;E10934506;XLE;119;36
354;Jessica Harvey;1996-04-08;L89163667;UCA;116;37
355;Jason Edwards;1975-02-09;J22810925;XLE;60;45
356;Danny Pratt;1998-10-31;E10934506;XLE;147;47
357;Jason Edwards;1975-02-09;J22810925;MPH;80;15
358;Linda Warren;1975-03-13;L01109034;ETA;16;50
359;Ronald Monroe;1984-09-12;C02131672;AZI;109;41
360;Jacob Duran;1988-02-25;A85793465;LAW;52;48
361;Jason Edwards;1975-02-09;J22810925;LAM;142;15
362;Ronald Monroe;1984-09-12;C02131672;LUD;106;41
363;Ronald Monroe;1984-09-12;C02131672;LAM;30;2
364;Jacob Duran;1988-02-25;A85793465;LAM;101;17
365;Joe Cabrera;1994-08-13;O98651462;KEA;105;25
366;Jacob Duran;1988-02-25;A85793465;KEA;73;17
367;Jacob Duran;1988-02-25;A85793465;KEA;126;48
368;Curtis Gutierrez;1974-03-14;Q46419538;ADC;28;7
369;Curtis Gutierrez;1974-03-14;Q46419538;BTA;128;7
370;Danny Pratt;1998-10-31;E10934506;UCA;94;36
371;Jason Edwards;1975-02-09;J22810925;ETA;41;45
372;Jacob Duran;1988-02-25;A85793465;QAF;9;17
373;Jacob Duran;1988-02-25;A85793465;KEA;126;17
374;Laura Ward;1981-01-23;I74549867;LAT;47;28
375;Jacob Duran;1988-02-25;A85793465;AZI;101;17
376;Jacob Duran;1988-02-25;A85793465;AZI;9;17
377;Jessica Harvey;1996-04-08;L89163667;LRC;23;37
378;Kimberly Brown;1999-09-02;H50641909;KAI;139;22
379;Latasha Nelson;1986-05-09;V51246373;LRC;82;49
380;Jacob Duran;1988-02-25;A85793465;KAI;57;17
381;Jessica Harvey;1996-04-08;L89163667;UCA;75;37
382;Jason Edwards;1975-02-09;J22810925;UCA;100;15
383;Linda Warren;1975-03-13;L01109034;NCY;135;50
384;Jacob Duran;1988-02-25;A85793465;BTA;59;48
385;Danny Pratt;1998-10-31;E10934506;UCA;58;47
386;Jacob Duran;1988-02-25;A85793465;KAI;59;48
387;Kimberly Brown;1999-09-02;H50641909;KAI;36;51
388;Eric Phelps;1994-10-01;B96464671;UCA;85;35
389;Curtis Gutierrez;1974-03-14;Q46419538;AZI;61;7
390;Jacob Duran;1988-02-25;A85793465;UAN;9;17
391;Jason Edwards;1975-02-09;J22810925;XLE;76;15
392;Latasha Nelson;1986-05-09;V51246373;LRC;96;49
393;Eric Phelps;1994-10-01;B96464671;KEA;93;35
394;Jason Edwards;1975-02-09;J22810925;ADC;144;45
395;Jason Edwards;1975-02-09;J22810925;MPH;41;45
396;Jacob Duran;1988-02-25;A85793465;KAI;101;17
397;Jessica Harvey;1996-04-08;L89163667;NCY;40;37
398;Danny Pratt;1998-10-31;E10934506;BTA;58;36
399;Jacob Duran;1988-02-25;A85793465;COG;140;17
400;Ronald Monroe;1984-09-12;C02131672;QAF;106;41
401;Jacob Duran;1988-02-25;A85793465;LAM;57;17
402;Jacob Duran;1988-02-25;A85793465;COG;3;48
403;Gabriel Palmer;1981-08-18;O88716397;UAN;5;31
404;Jacob Duran;1988-02-25;A85793465;BTA;35;17
405;Jacob Duran;1988-02-25;A85793465;EAL;73;17
406;Jacob Duran;1988-02-25;A85793465;EAL;101;48
407;Jason Edwards;1975-02-09;J22810925;XLE;64;45
408;Ronald Monroe;1984-09-12;C02131672;AZI;106;41
409;Jacob Duran;1988-02-25;A85793465;KEA;117;17
410;Jason Edwards;1975-02-09;J22810925;IBE;80;15
411;Jacob Duran;1988-02-25;A85793465;KEA;140;48
412;Jason Edwards;1975-02-09;J22810925;ETA;144;15
413;Latasha Nelson;1986-05-09;V51246373;LAW;44;49
414;Jacob Duran;1988-02-25;A85793465;NCY;3;48
415;Jacob Duran;1988-02-25;A85793465;EAL;126;17
416;Latasha Nelson;1986-05-09;V51246373;NCY;118;49
417;Jessica Harvey;1996-04-08;L89163667;IBE;22;37
418;Jacob Duran;1988-02-25;A85793465;BTA;73;48
419;Kimberly Brown;1999-09-02;H50641909;KAI;111;51
420;Danny Pratt;1998-10-31;E10934506;UCA;103;36
421;Kimberly Brown;1999-09-02;H50641909;XLE;98;51
422;Danny Pratt;1998-10-31;E10934506;XLE;8;47
423;Jacob Duran;1988-02-25;A85793465;AZI;129;48
424;Jacob Duran;1988-02-25;A85793465;KAI;73;17
425;Jacob Duran;1988-02-25;A85793465;COG;15;17
426;Jeffrey Roberts;1971-12-02;G16561693;IBE;10;19
427;Jacob Duran;1988-02-25;A85793465;COG;15;48
428;Jacob Duran;1988-02-25;A85793465;NCY;4;48
429;Jacob Duran;1988-02-25;A85793465;COG;4;48
430;Gene Obrien;1999-07-02;Q49180524;KEA;137;0
431;Jacob Duran;1988-02-25;A85793465;BTA;129;17
432;Jason Edwards;1975-02-09;J22810925;UCA;87;45
433;Jacob Duran;1988-02-25;A85793465;AZI;126;48
434;Jason Edwards;1975-02-09;J22810925;LRC;142;15
435;Jacob Duran;1988-02-25;A85793465;UAN;4;17
436;Alex Deleon;1979-10-03;A35692355;IBE;0;11
437;Danny Pratt;1998-10-31;E10934506;ADC;148;36
438;Curtis Gutierrez;1974-03-14;Q46419538;NCY;28;7
439;Jacob Duran;1988-02-25;A85793465;EAL;86;17
440;Kimberly Brown;1999-09-02;H50641909;ADC;124;51
441;Danny Pratt;1998-10-31;E10934506;UCA;138;36
442;Kimberly Brown;1999-09-02;H50641909;XLE;84;22
443;Jessica Harvey;1996-04-08;L89163667;LRC;22;37
444;Danny Pratt;1998-10-31;E10934506;BTA;119;47
445;Linda Warren;1975-03-13;L01109034;ETA;135;50
446;Jason Edwards;1975-02-09;J22810925;LAM;60;15
447;Jacob Duran;1988-02-25;A85793465;KAI;73;48
448;Gene Obrien;1999-07-02;Q49180524;KAI;11;0
449;Latasha Nelson;1986-05-09;V51246373;MPH;130;49
450;Kimberly Brown;1999-09-02;H50641909;KAI;139;51
451;Joe Cabrera;1994-08-13;O98651462;QAF;105;25
452;Eric Phelps;1994-10-01;B96464671;KEA;85;35
453;Eric Phelps;1994-10-01;B96464671;UCA;146;35
454;Latasha Nelson;1986-05-09;V51246373;LAW;96;49
455;Laura Ward;1981-01-23;I74549867;MPH;47;28
456;Jacob Duran;1988-02-25;A85793465;KEA;86;48
457;Jason Edwards;1975-02-09;J22810925;XLE;100;15
458;Jessica Harvey;1996-04-08;L89163667;LRC;72;37
459;Jason Edwards;1975-02-09;J22810925;LRC;100;15
